Player,Group,Team,Matches,Batting,Bowling,Fielding,Other,MOM,Total
Sayed Sajid Hussain,A,TUS Borgholzhausen,5,61,0,0,0,0,61
Zaheer Abbas,E,Bonn Blue Stars,2,61,0,0,0,0,61
Umar Farooq,B,Muelheim 2,3,11,25,24,0,0,60
Kaushik Koogur Harish,D,Koeln Blasters,4,17,43,0,0,0,60
Shuja Ahmed,B,Muelheim 2,4,52,0,8,0,0,60
Vithuran Jayakumar,A,Lemgo Warriors,3,27,25,8,0,0,60
Shirzad Paschton,E,Muelheim 1,1,63,-3,0,0,0,60
Srinivas Senthil Kumar,D,Koeln Blasters,6,23,5,30,0,0,58
Wahidullah Pashai,A,VfB Fichte Bielefeld e.V.,3,58,0,0,0,0,58
Vithusan Anantha,A,Lemgo Warriors,4,-3,45,16,0,0,58
Sameer Mohammed Naeem,B,SC Krefeld Boosters,3,49,0,8,0,0,57
Armani Miakhil,B,Lenkerbeck Marl,4,6,35,16,0,0,57
Mohammad Imran,A,Lemgo Leopards,1,57,0,0,0,0,57
Ishara Umesh Ranaroll,C,Bonn CC Blue,4,40,0,16,0,0,56
Viprendra Joshi,D,Bonn CC Yellow,3,13,34,8,0,0,55
Safi Usman,D,CICC Wizards,1,1,38,16,0,0,55
Ashish Bakshi,C,Bonn CC Blue,3,0,38,16,0,0,54
Malith Rigel Herath,B,SC Krefeld Boosters,3,31,-1,24,0,0,54
Jaspreet Singh,C,Ennepetal Green Tigers,3,-4,50,8,0,0,54
Syed Murtaza Shah,C,Ennepetal Green Tigers,1,-2,48,8,0,0,54
Ramsurathkumar Subramanian,E,SC Krefeld Spartans,3,3,42,8,0,0,53
Sheraz Ali Zadran,B,Lenkerbeck Marl,3,0,45,8,0,0,53
Siraj Thanha,A,TUS Borgholzhausen,5,-1,46,8,0,0,53
Abdullah Rabi,C,Moers Hawks,4,-2,47,8,0,0,53
Adeel Iqbal,C,Ennepetal Green Tigers,1,3,42,8,0,0,53
Naeem Akhtar,E,Bonn Blue Stars,2,36,0,16,0,0,52
Sohail Mohammed Nayyar,D,Koeln City Adlers,1,10,42,0,0,0,52
Gurjeet Singh,C,Ennepetal Green Tigers,1,-2,45,8,0,0,51
Musahibullah Amarkhil,A,Soest Strikers,3,51,0,0,0,0,51
Fakhir Mahmood Mubashar,D,Koeln City Adlers,2,4,47,0,0,0,51
Mohammad Fareed,A,Lemgo Leopards,4,1,42,8,0,0,51
Adeel Iqbal,C,Ennepetal Green Tigers,1,8,43,0,0,0,51
Syed Waqas Shaukat,A,Paderborn Sultans,2,43,-1,8,0,0,50
Enoch Dickson PD,F,SC Krefeld Mavericks,4,15,19,16,0,0,50
Manoj G. Chennamangalam,F,Gelsenkirchen United,2,0,50,0,0,0,50
Thamindu Dilshitha Pathiranage,D,Bonn CC Yellow,3,12,32,6,0,0,50
Jawad Azizi,E,Bonn Blue Stars,1,-3,45,8,0,0,50
Abdullah Mahmood Khan,D,Koeln City Adlers,1,22,20,8,0,0,50
Gopinath Manoharan,F,Gelsenkirchen United,1,49,0,0,0,0,49
R.abdul Hai,F,Grey Caps Aachen,2,0,49,0,0,0,49
Smit Nandu,D,Bonn Blue Stars United,2,0,48,0,0,0,48
Arsalan Siddiqui,E,SC Krefeld Spartans,1,6,42,0,0,0,48
Chetan Anbushivam,C,Bonn Golden Stars,1,0,48,0,0,0,48
Samay Kochhar,A,VfB Fichte Bielefeld e.V.,3,48,0,0,0,0,48
Anoop Singh Yadav,F,Köln City Falcons CC,4,23,0,24,0,0,47
Chaitanya Alapati,F,SC Krefeld Mavericks,5,21,17,8,0,0,46
Mubashir Raja,D,Strass Rising Stars,1,1,45,0,0,0,46
Muhammad Salman Arshad,C,Ennepetal Green Tigers,2,25,20,0,0,0,45
Shamas Ul And Din,B,Lenkerbeck Marl,4,25,12,8,0,0,45
Suman Shree Shakya,D,CICC Wizards,5,16,21,8,0,0,45
Kartik Seshadri Chari,F,SC Krefeld Mavericks,1,3,42,0,0,0,45
